# XHUP Flow attested input character codes (generated; do not edit by hand)
# schema: character<TAB>sound_code<TAB>shape_code<TAB>source_weight<TAB>source<TAB>status
# historical_source_repo: boomker/rime-fast-xhup
# historical_source_commit: 308d6d29c5a612fec7282923e49d3cd5453bab48
# historical_source_path: cn_dicts/flypy_chars.dict.yaml
# historical_source_blob: 3c2773335c8108bbe896b9af588d619e22045132
# historical_source_raw_sha256: 5eeda7a9976cf7d8ed1bc487bdccc02d7f423425515d814309328ff61b6b4291
# historical_source_license: LGPL-3.0
# official_oracle: data/xhup/official_char_code_oracle.tsv
# official_payload_decoded_sha256: d33e6afa77d2586c097876674ad11cb33ea834e455be4bb704e05a9f33ad7dd4
# serialization: character Unicode scalar -> sound_code -> shape_code -> source -> status
# historical_rows: 9792
# official_oracle_rows: 4
# evidence_rows: 9796
# input_characters: 8208
䜣	yb	yj	0	rime-fast-xhup	legacy-compatible
䝙	iu	vx	0	rime-fast-xhup	legacy-compatible
䞍	qk	ko	0	rime-fast-xhup	legacy-compatible
䢺	iu	ie	0	rime-fast-xhup	legacy-compatible
䢼	gs	ce	0	rime-fast-xhup	legacy-compatible
䢼	gs	ge	0	rime-fast-xhup	legacy-compatible
䣘	th	xe	0	rime-fast-xhup	legacy-compatible
䥽	po	jd	0	rime-fast-xhup	legacy-compatible
䦃	vo	jo	0	rime-fast-xhup	legacy-compatible
䲟	yb	ae	0	rime-fast-xhup	legacy-compatible
䲟	yb	ye	0	rime-fast-xhup	legacy-compatible
䲠	iy	ao	0	rime-fast-xhup	legacy-compatible
䲠	iy	yo	0	rime-fast-xhup	legacy-compatible
䲢	tg	oa	0	rime-fast-xhup	legacy-compatible
䴓	ui	an	0	rime-fast-xhup	legacy-compatible
䴓	ui	bn	0	rime-fast-xhup	legacy-compatible
䴔	jn	wn	0	rime-fast-xhup	legacy-compatible
䴕	lp	dn	0	rime-fast-xhup	legacy-compatible
䴖	jk	fn	0	rime-fast-xhup	legacy-compatible
䴗	ju	on	0	rime-fast-xhup	legacy-compatible
䴘	ti	in	0	rime-fast-xhup	legacy-compatible
䴘	ti	pn	0	rime-fast-xhup	legacy-compatible
䴙	pi	un	0	rime-fast-xhup	legacy-compatible
䶮	yj	lt	0	rime-fast-xhup	legacy-compatible
一	yi	aa	59	rime-fast-xhup	legacy-compatible
丁	dk	al	30	rime-fast-xhup	legacy-compatible
丁	vg	al	1	rime-fast-xhup	legacy-compatible
七	qi	av	33	rime-fast-xhup	legacy-compatible
万	mo	ap	1	rime-fast-xhup	legacy-compatible
万	wj	ap	44	rime-fast-xhup	legacy-compatible
丈	vh	an	14	rime-fast-xhup	legacy-compatible
三	sj	ae	44	rime-fast-xhup	legacy-compatible
上	uh	la	67	rime-fast-xhup	legacy-compatible
下	xx	ab	61	rime-fast-xhup	legacy-compatible
不	bu	ad	75	rime-fast-xhup	legacy-compatible
不	fz	ad	0	rime-fast-xhup	legacy-compatible
与	yu	aa	64	rime-fast-xhup	legacy-compatible
丏	mm	av	2	rime-fast-xhup	legacy-compatible
丐	gd	av	10	rime-fast-xhup	legacy-compatible
丑	iz	va	28	rime-fast-xhup	legacy-compatible
专	vr	ad	27	rime-fast-xhup	legacy-compatible
且	ju	la	2	rime-fast-xhup	legacy-compatible
且	qp	la	38	rime-fast-xhup	legacy-compatible
丕	pi	ba	11	rime-fast-xhup	legacy-compatible
