佰	bai	primary
佳	jia	primary
佴	er	primary
佴	nai	alt
佶	ji	primary
佸	huo	primary
佺	quan	primary
佻	tiao	primary
佼	jiao	primary
佽	ci	primary
佾	yi	primary
使	shi	primary
侁	shen	primary
侂	tuo	primary
侃	kan	primary
侄	zhi	primary
侈	chi	primary
侉	kua	primary
例	li	primary
侍	shi	primary
侏	zhu	primary
侑	you	primary
侔	mou	primary
侗	dong	primary
侘	cha	primary
供	gong	primary
依	yi	primary
侠	xia	primary
侣	lv	primary
侥	jiao	primary
侥	yao	alt
侦	zhen	primary
侧	ce	primary
侨	qiao	primary
侩	kuai	primary
侪	chai	primary
侬	nong	primary
侮	wu	primary
侯	hou	primary
侴	chou	primary
侵	qin	primary
侹	ting	primary
便	bian	primary
便	pian	alt
促	cu	primary
俄	e	primary
俅	qiu	primary
俊	jun	primary
俍	liang	primary
俎	zu	primary
俏	qiao	primary
俐	li	primary
俑	yong	primary
俗	su	primary
俘	fu	primary
俙	xi	primary
俚	li	primary
俜	ping	primary
保	bao	primary
俞	yu	primary
俟	qi	primary
俟	si	alt
信	xin	primary
俣	yu	primary
俦	chou	primary
俨	yan	primary
俩	lia	primary
俩	liang	alt
俪	li	primary
俫	lai	primary
俭	jian	primary
修	xiu	primary
俯	fu	primary
俱	ju	primary
俳	pai	primary
俵	biao	primary
俶	chu	primary
俸	feng	primary
俺	an	primary
俾	bi	primary
倌	guan	primary
倍	bei	primary
倏	shu	primary
倒	dao	primary
倓	tan	primary
倔	jue	primary
倕	chui	primary
倘	tang	primary
候	hou	primary
倚	yi	primary
倜	ti	primary
倞	jing	primary
借	jie	primary
倡	chang	primary
倥	kong	primary
倦	juan	primary
倧	zong	primary
倨	ju	primary
倩	qian	primary
倪	ni	primary
倬	zhuo	primary
倭	wo	primary
倮	luo	primary
倴	ben	primary
债	zhai	primary
倻	ye	primary
值	zhi	primary
倾	qing	primary
偁	cheng	primary
偃	yan	primary
假	jia	primary
偈	ji	primary
偌	ruo	primary
偎	wei	primary
偏	pian	primary
偓	wo	primary
偕	xie	primary
做	zuo	primary
停	ting	primary
偡	zhan	primary
健	jian	primary
偬	zong	primary
偭	mian	primary
偰	xie	primary
偲	cai	primary
偶	ou	primary
偷	tou	primary
偻	lou	primary
偻	lv	alt
偾	fen	primary
偿	chang	primary
傀	gui	primary
傀	kui	alt
傃	su	primary
傅	fu	primary
傈	li	primary
傉	nu	primary
傍	bang	primary
傒	xi	primary
傕	jue	primary
傣	dai	primary
傥	tang	primary
傧	bin	primary
储	chu	primary
傩	nuo	primary
催	cui	primary
傲	ao	primary
傺	chi	primary
傻	sha	primary
僇	lu	primary
僎	zhuan	primary
像	xiang	primary
僔	zun	primary
僖	xi	primary
僚	liao	primary
僦	jiu	primary
僧	seng	primary
僬	jiao	primary
僭	jian	primary
僮	tong	primary
僰	bo	primary
僳	su	primary
僵	jiang	primary
僻	pi	primary
儆	jing	primary
儇	xuan	primary
儋	dan	primary
儒	ru	primary
儡	lei	primary
儦	biao	primary
儳	chan	primary
儴	rang	primary
儿	er	primary
兀	wu	primary
允	yun	primary
元	yuan	primary
兄	xiong	primary
充	chong	primary
兆	zhao	primary
先	xian	primary
光	guang	primary
克	ke	primary
免	mian	primary
兑	dui	primary
兔	tu	primary
兕	si	primary
兖	yan	primary
党	dang	primary
兜	dou	primary
兢	jing	primary
入	ru	primary
全	quan	primary
八	ba	primary
公	gong	primary
六	liu	primary
兮	xi	primary
兰	lan	primary
共	gong	primary
关	guan	primary
兴	xing	primary
兵	bing	primary
