a	a
ai	d
an	j
ang	h
ao	c
e	e
ei	w
en	f
eng	g
i	i
ia	x
ian	m
iang	l
iao	n
ie	p
in	b
ing	k
iong	s
iu	q
o	o
ong	s
ou	z
u	u
ua	x
uai	k
uan	r
uang	l
ue	t
ui	v
un	y
uo	o
v	v
ve	t
