# XHUP Flow 规范高频词语数据:万象 / RIME-LMDG 基础词库的规范子集
# source_repo: amzxyz/rime-wanxiang
# source_commit: 4618d67a978ff4f41b165c10b35558d38e333ab1
# source_path: dicts/jichu.dict.yaml
# source_blob_sha: a0f66e2fc6130f3f1c9b2e5109644c8b893477b0
# source_license: CC-BY-4.0
# semantic_source: amzxyz/RIME-LMDG
# normalization: 与字频数据一致(去声调五组;ü 族→v;ńňǹ→n;ḿ→m;
#   归一化后仍含非 a-z 字符的源读音视为坏行忽略)
# aggregation: 归一化后落到同一 (词, 规范读音序列) 的全部源行分数按 u64 校验和聚合
# match_policy: 每字属于规范 8105 清单、对应读音是该字规范读音且可编码为
#   XHUP 输入音节;不发明新读音
# collision_policy: 二字词按 semantic entry(词 + 读音序列)推导 4 键码,
#   与规范单字全码集冲突的 semantic entry 被排除;同词形的不冲突读音序列保留
# selection: 各词长独立按 (分数降序, 词 Unicode 升序, 读音序列升序) 取
#   前 50000 / 30000 / 20000 条;合法候选不足目标即失败,不静默缩水
# serialization: 词长升序 → 词 Unicode 升序 → 读音序列升序
# rows: 100000
一炮	yi pao	1360
一爿	yi pan	6023
一片	yi pian	29902
一猜	yi cai	1156
一玩	yi wan	1683
一环	yi huan	5024
一班	yi ban	1868
一球	yi qiu	3027
一瓦	yi wa	787
一瓶	yi ping	12890
一生	yi sheng	36254
一用	yi yong	1478
一番	yi fan	25268
一百	yi bai	6572
一盅	yi zhong	813
一盆	yi pen	2022
一盏	yi zhan	1513
一盒	yi he	5523
一盘	yi pan	6340
一直	yi zhi	258749
一看	yi kan	35856
一眨	yi zha	969
一眼	yi yan	13477
一睁	yi zheng	1413
一睡	yi shui	1190
一睹	yi du	769
一瞥	yi pie	757
一瞬	yi shun	2521
一碗	yi wan	7875
一碟	yi die	1011
一碰	yi peng	1203
一社	yi she	950
一种	yi zhong	349721
一科	yi ke	885
一秒	yi miao	8591
一空	yi kong	810
一窝	yi wo	838
一站	yi zhan	16246
一章	yi zhang	7369
一笑	yi xiao	4964
一笔	yi bi	4053
一笼	yi long	1215
一等	yi deng	2926
一筹	yi chou	1225
一算	yi suan	1407
一篇	yi pian	55239
一米	yi mi	1007
一类	yi lei	28144
一粒	yi li	2851
一级	yi ji	17172
一纸	yi zhi	913
一线	yi xian	23286
一组	yi zu	23179
一经	yi jing	7287
一绝	yi jue	2289
一罐	yi guan	2351
一群	yi qun	43787
一翻	yi fan	1004
一职	yi zhi	2653
一股	yi gu	17807
一胎	yi tai	3441
一胖	yi pang	774
一脚	yi jiao	7586
一脸	yi lian	11489
一腔	yi qiang	872
一致	yi zhi	27421
一般	yi ban	420754
一艘	yi sou	2756
一节	yi jie	5328
一血	yi xue	841
一袋	yi dai	3231
一览	yi lan	3240
一角	yi jiao	5008
一言	yi yan	1089
一让	yi rang	794
一记	yi ji	3165
一设	yi she	1049
一词	yi ci	1105
一试	yi shi	926
一说	yi shuo	16337
一读	yi du	785
一课	yi ke	1582
一贯	yi guan	5335
一走	yi zou	1319
一起	yi qi	177313
一趟	yi tang	4647
一路	yi lu	35915
一蹦	yi beng	886
一身	yi shen	13722
一躺	yi tang	1199
一车	yi che	2276
一辆	yi liang	2041
一辈	yi bei	1821
一过	yi guo	1902
一进	yi jin	1617
一连	yi lian	2025
一逛	yi guang	1076
一逼	yi bi	913
一道	yi dao	10603
一郎	yi lang	1727
一部	yi bu	5906
一铺	yi pu	770
一锅	yi guo	3310
一长	yi chang	1723
一门	yi men	24954
一闪	yi shan	2101
一问	yi wen	5187
一队	yi dui	3598
一阵	yi zhen	17879
一隅	yi yu	835
一集	yi ji	6578
一零	yi ling	1359
一面	yi mian	29623
一页	yi ye	5812
一顺	yi shun	994
一颗	yi ke	5944
一题	yi ti	2826
一餐	yi can	2126
一首	yi shou	30879
一马	yi ma	929
一齐	yi qi	1698
丁中	ding zhong	1419
丁公	ding gong	842
丁姐	ding jie	1300
丁家	ding jia	976
丁工	ding gong	886
丁火	ding huo	793
丁烷	ding wan	876
丁目	ding mu	1377
丁香	ding xiang	2034
七七	qi qi	2383
七三	qi san	1328
七两	qi liang	901
七个	qi ge	6465
七九	qi jiu	1170
七五	qi wu	2468
七人	qi ren	1095
七倍	qi bei	788
七八	qi ba	2443
七六	qi liu	1274
七分	qi fen	2037
七十	qi shi	5447
七千	qi qian	1102
七台	qi tai	796
七号	qi hao	5674
七周	qi zhou	958
七国	qi guo	810
七夕	qi xi	929
七大	qi da	1862
七天	qi tian	4905
七套	qi tao	1316
七宿	qi xiu	738
七届	qi jie	989
七岁	qi sui	1488
七年	qi nian	8129
七张	qi zhang	1246
七彩	qi cai	3589
七怪	qi guai	788
七成	qi cheng	1702
七所	qi suo	3002
七日	qi ri	1014
七旬	qi xun	963
七星	qi xing	932
七月	qi yue	6798
七本	qi ben	904
七朵	qi duo	783
七根	qi gen	1143
七次	qi ci	1164
七海	qi hai	963
七猫	qi mao	936
七盒	qi he	824
七种	qi zhong	973
七级	qi ji	744
七组	qi zu	803
七股	qi gu	1364
七轮	qi lun	932
七都	qi dou	795
七魄	qi po	738
万一	wan yi	31466
万万	wan wan	9407
万三	wan san	1539
万世	wan shi	945
万业	wan ye	770
万两	wan liang	4063
万个	wan ge	2866
万事	wan shi	2376
万亩	wan mu	820
万人	wan ren	25836
万亿	wan yi	9821
万件	wan jian	1296
万份	wan fen	1683
万众	wan zhong	807
万体	wan ti	760
万余	wan yu	1152
万佛	wan fo	896
万兆	wan zhao	1156
万八	wan ba	1629
万兵	wan bing	893
万分	wan fen	2989
万利	wan li	766
万化	wan hua	996
万千	wan qian	3492
万华	wan hua	1107
万卡	wan ka	868
万历	wan li	2342
万古	wan gu	1111
万台	wan tai	3752
万叶	wan ye	855
万名	wan ming	1921
万吨	wan dun	9018
万四	wan si	1390
万国	wan guo	1673
万块	wan kuai	3602
万多	wan duo	6811
万套	wan tao	1196
万字	wan zi	1890
万家	wan jia	1648
万岁	wan sui	3140
万平	wan ping	1768
万年	wan nian	7507
万幸	wan xing	2914
万张	wan zhang	2173
万户	wan hu	1928
万斛	wan hu	918
万木	wan mu	738
万条	wan tiao	1002
万次	wan ci	2292
万欧	wan ou	1168
万款	wan kuan	828
万民	wan min	788
万泰	wan tai	756
万灵	wan ling	972
万点	wan dian	781
万片	wan pian	891
万物	wan wu	10227
万状	wan zhuang	795
万瓶	wan ping	1680
万病	wan bing	940
万磅	wan bang	891
万票	wan piao	864
万种	wan zhong	766
万科	wan ke	3055
万笔	wan bi	10348
万篇	wan pian	846
万类	wan lei	889
万粉	wan fen	1096
万红	wan hong	819
万缕	wan lv	1084
万股	wan gu	1836
万能	wan neng	9665
万般	wan ban	1048
万色	wan se	752
万花	wan hua	1052
万象	wan xiang	4962
万豪	wan hao	1290
万赞	wan zan	1275
万起	wan qi	1369
万辆	wan liang	985
万达	wan da	4123
万里	wan li	2716
万页	wan ye	812
丈八	zhang ba	778
丈夫	zhang fu	21930
三丁	san ding	1058
三七	san qi	753
三万	san wan	3724
三下	san xia	1787
三专	san zhuan	881
三丝	san si	900
三个	san ge	112406
三中	san zhong	1683
三串	san chuan	896
三书	san shu	806
三买	san mai	756
三二	san er	1462
三五	san wu	810
三井	san jing	5957
三亚	san ya	1561
三人	san ren	18014
三亿	san yi	804
三代	san dai	9184
三件	san jian	1099
三份	san fen	1504
三休	san xiu	810
三优	san you	1069
三传	san chuan	806
三位	san wei	8849
三体	san ti	18159
三余	san yu	753
三倍	san bei	819
三候	san hou	940
三停	san ting	783
三儿	san er	1389
三元	san yuan	1937
三八	san ba	929
三公	san gong	1199
三六	san liu	1548
三军	san jun	1240
三冬	san dong	808
三分	san fen	19069
三到	san dao	5740
三刷	san shua	1064
三助	san zhu	850
三包	san bao	1269
三十	san shi	13547
三千	san qian	5762
三单	san dan	918
三友	san you	1012
三双	san shuang	1181
三叔	san shu	1385
三叠	san die	940
三口	san kou	857
三只	san zhi	2182
三叶	san ye	1453
三号	san hao	1878
三司	san si	1000
三名	san ming	2964
三后	san hou	990
三周	san zhou	1953
三和	san he	1350
三哥	san ge	1736
三喜	san xi	964
三四	san si	2320
三国	san guo	12708
三地	san di	961
三场	san chang	2503
三块	san kuai	2606
三处	san chu	1011
三大	san da	21776
三天	san tian	17348
三头	san tou	1108
三套	san tao	2006
三女	san nv	1242
三姐	san jie	1209
三嫂	san sao	873
三子	san zi	879
三字	san zi	1149
三季	san ji	1127
三宅	san zhai	976
三安	san an	922
三定	san ding	1005
三家	san jia	8236
三尊	san zun	774
三局	san ju	1187
三层	san ceng	5771
三届	san jie	913
三岁	san sui	2606
三峡	san xia	1111
三川	san chuan	851
三州	san zhou	886
三巡	san xun	914
三市	san shi	5385
三席	san xi	868
三年	san nian	46651
三度	san du	1630
三座	san zuo	1149
三庭	san ting	744
三弟	san di	865
三张	san zhang	3598
三彩	san cai	1035
三德	san de	1560
三思	san si	1579
三成	san cheng	1765
三所	san suo	1677
三才	san cai	932
三招	san zhao	738
三拼	san pin	1094
三挡	san dang	2276
