# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
于	al	yual	al	
亏	ev	kvev	ev	
云	es	yyes	es	
互	aa	huaa	aa	
亓	el	qiel	el	
五	aa	wuaa	aa	
井	al	jkal	al	
亖	ee	siee	-	
亘	aa	gfaa	aa	
亚	ay	yaay	ay	
些	ve	xpve	ve	
亟	la	jila qila	la	
亡	wv	whwv	wv	
亢	wj	khwj	wj	
交	wx	jnwx	wx	
亥	wr	hdwr	wr	
亦	wd	yiwd	wd	
产	lp	ijlp	wi	DIFF
亨	wl	hgwl	wl	
亩	wt	muwt	wt	
享	wz	xlwz	wz	
京	wx	jkwx	wx	
亭	wd	tkwd	wd	
亮	wj	llwj	wj	
亲	lm	qklm qblm	lm	
亳	wq	bowq	wq	
亵	wy	xpwy	wy	
亶	wa	djwa	wa	
亸	wl	dowl	wl	
亹	wq	mfwq wwwq	wq	
人	pn	rfpn	pn	
亽	rd	jird	-	
亿	rv	yirv	rv	
什	ru	uiru ufru	ru	
仁	re	rfre	re	
仂	rl	lerl	rl	
仃	rd	dkrd	rd	
仄	ir	zeir	ir	
仅	ry	jbry	ry	
仆	rb	purb	rb	
仇	rj	izrj qqrj	rj	
仉	rj	vhrj	rj	
今	rv	jbrv	rv	
介	rl	jprl	rl	
仌	rr	bkrr	-	
仍	rn	rgrn	rn	
从	rr	csrr	rr	
仑	rb	lyrb	rb	
仓	rv	chrv	rv	
仔	rz	zdrz zirz	rz	
仕	ru	uiru	ru	
他	ry	tary	ry	
仗	rv	vhrv	rv	
付	rc	furc	rc	
仙	re	xmre	re	
仝	rg	tsrg	rg	
仞	rr	rfrr	rr	
仟	rq	qmrq	rq	
仡	rq	gerq yirq	ry	DIFF
代	ry	ddry	ry	
令	rs	lkrs	rs	
以	vr	yivr	vr	
仨	rs	sars	rs	
仪	ry	yiry	ry	
仫	rm	murm	rm	
们	rm	mfrm	rm	
仰	re	yhre	re	
仲	rv	vsrv	rv	
仳	rb	pirb	rb	
仵	rw	wurw	rw	
件	rn	jmrn	rn	
价	rl	jxrl jprl	rl	
任	rr	rfrr	rr	
份	rd	ffrd	rd	
仿	rf	fhrf	rf	
企	rv	qirv	rv	
伈	rx	xbrx	rx	
伉	rj	khrj	rj	
伊	ry	yiry	ry	
伋	rj	jirj	rj	
伍	rw	wurw	rw	
伎	ry	jiry	ry	
伏	rq	furq	rq	
伐	rg	farg	rg	
休	rm	xqrm	rm	
众	rr	vsrr	rr	
优	ry	yzry	ry	
伙	rh	horh	rh	
会	rs	hvrs kkrs	rs	
伛	rx	yurx	rx	
伝	rs	yyrs	-	
伞	ru	sjru	ru	
伟	rw	wwrw	rw	
传	rv	vrrv irrv	rv	
伢	ry	yary	ry	
伣	re	qmre	re	
伤	rl	uhrl	rl	
伥	ri	ihri	ri	
伦	rb	lyrb	rb	
伧	rv	chrv ifrv	rv	
伪	rw	wwrw	rw	
伫	ra	vura	ra	
伭	ry	xrry xmry	ry	
伯	rb	bdrb borb	rb	
估	rk	gurk	rk	
伲	rb	nirb	rb	
伴	rb	bjrb	rb	
伶	rs	lkrs	rs	
伸	ru	ufru	ru	
伺	rk	cirk sirk	rk	
似	rr	sirr uirr	rr	
伽	rk	gark jxrk qprk	rk	
伾	rp	pirp	rp	
佁	rk	iirk yirk	rk	
佃	rt	dmrt tmrt	rt	
但	ra	djra	ra	
位	rl	wwrl	rl	
低	rd	dird	rd	
住	rv	vurv	rv	
佐	rg	zorg	rg	
佑	rk	yzrk	rk	
