丛	人 一	人 人 一	cóng
东	一 丶	一 乛 丨 丿 丶	dōng
丝	乛 一	乛 乛 乛 乛 一	sī
丞	了 一	了 乛 丿 ㄟ 一	chéng
丢	丿 厶	丿 土 厶	diū
两	一 丶	一 丨 乛 丿 丶 丿 丶	liǎng
严	亚 丿	亚 丿	yán
丧	十 ㄟ	十 丶 丿 一 乛 丿 ㄟ	sāng sàng sang
个	人 丨	人 丨	gè gě
丫	丷 丨	丷 丨	yā
中	丨 丨	丨 乛 一 丨	zhōng zhòng
丰	一 丨	一 一 一 丨	fēng
串	丨 丨	丨 乛 一 丨 乛 一 丨	chuàn
临	丨 一	丨 丨 丿 一 丶 丨 乛 丨 一	lín
丸	丿 丶	丿 乛 丶	wán
丹	丿 一	丿 乛 丶 一	dān
为	丶 丶	丶 丿 乛 丶	wéi wèi
主	丶 王	丶 王	zhǔ
丼	井 丶	井 丶	jǐng dăn
丽	一 丶	一 丨 乛 丶 丨 乛 丶	lì lí
举	⺍ 丨	⺍ 一 八 一 一 丨	jǔ
乂	丿 ㄟ	丿 ㄟ	yì
乃	乛 丿	乛 丿	nǎi
久	丿 ㄟ	丿 乛 ㄟ	jiǔ
乇	丿 七	丿 七	tuō
么	丿 厶	丿 厶	me yāo ma
义	丶 乂	丶 乂	yì
之	丶 ㄟ	丶 乛 ㄟ	zhī
乌	丿 一	丿 乛 乛 一	wū wù
乍	丿 一	丿 一 丨 一 一	zhà
乎	丿 丨	丿 丶 丿 一 丨	hū
乏	丿 之	丿 之	fá
乐	丿 丶	丿 乛 丨 丿 丶	lè yuè lào
乒	丘 丿	丘 丿	pīng
乓	丘 丶	丘 丶	pāng
乔	夭 丨	夭 丿 丨	qiáo
乖	千 匕	千 丨 一 一 匕	guāi
乘	千 ㄟ	千 丨 一 一 匕 丿 ㄟ	chéng shèng
乙	乛 乛	乛	yǐ
乜	乛 乛	乛 乛	miē niè
九	丿 乛	丿 乛	jiǔ
乞	丿 乛	丿 一 乛	qǐ
也	乛 乛	乛 丨 乛	yě
习	乛 冫	乛 冫	xí
乡	乛 丿	乛 乛 丿	xiāng
